
2025/02/11 (08:40:35) | ===> btop++ v.1.4.0
2025/02/11 (08:40:35) | INFO: Logger set to DEBUG
2025/02/11 (08:40:35) | DEBUG: Setting LC_ALL=en_US.UTF-8
2025/02/11 (08:40:35) | INFO: Running on /dev/pts/0
2025/02/11 (08:40:35) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/11 (08:40:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/11 (08:40:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/11 (08:40:35) | DEBUG: Shared::init() : Initialized.
2025/02/11 (08:40:49) | DEBUG: Writing new config file
2025/02/11 (08:40:49) | INFO: Quitting! Runtime: 00:00:14

2025/02/11 (08:41:17) | ===> btop++ v.1.4.0
2025/02/11 (08:41:17) | INFO: Logger set to DEBUG
2025/02/11 (08:41:17) | DEBUG: Setting LC_ALL=en_US.UTF-8
2025/02/11 (08:41:17) | INFO: Running on /dev/pts/0
2025/02/11 (08:41:17) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/11 (08:41:17) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/11 (08:41:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/11 (08:41:17) | DEBUG: Shared::init() : Initialized.
2025/02/11 (08:41:17) | DEBUG: Loading theme file: /home/erik/.config/btop/themes/tokyo-night.theme
2025/02/11 (08:41:43) | INFO: Quitting! Runtime: 00:00:26
